source,target,type
index.ts,actions/index.ts,Directed
index.ts,util/log.ts,Directed
index.ts,util/selectors.ts,Directed
main.ts,constants.ts,Directed
main.ts,util/getVortexPath.ts,Directed
main.ts,util/requireRemap.ts,Directed
main.ts,util/requireRebuild.ts,Directed
main.ts,util/extensionRequire.ts,Directed
main.ts,util/commandLine.ts,Directed
main.ts,util/fs.ts,Directed
renderer.tsx,util/requireRemap.ts,Directed
renderer.tsx,util/safeForwardToMain.ts,Directed
renderer.tsx,util/requireRebuild.ts,Directed
util/BatchContext.ts,util/util.ts,Directed
util/ConcurrencyLimiter.ts,shared/errors.ts,Directed
util/CustomErrors.ts,util/log.ts,Directed
util/EpicGamesLauncher.ts,util/log.ts,Directed
util/EpicGamesLauncher.ts,util/fs.ts,Directed
util/ExtensionManager.ts,actions/notificationSettings.ts,Directed
util/ExtensionManager.ts,types/INotification.ts,Directed
util/ExtensionManager.ts,util/extensionRequire.ts,Directed
util/ExtensionProvider.ts,util/ExtensionManager.ts,Directed
util/GameStoreHelper.ts,util/fs.ts,Directed
util/GameStoreHelper.ts,types/IGameStore.ts,Directed
util/PresetManager.ts,types/IPreset.gen.ts,Directed
util/StarterInfo.ts,extensions/gamemode_management/types/IGameStored.ts,Directed
util/StarterInfo.ts,extensions/gamemode_management/util/getGame.ts,Directed
util/Steam.ts,types/IGameStore.ts,Directed
util/Steam.ts,util/log.ts,Directed
util/Steam.ts,util/getVortexPath.ts,Directed
util/api.ts,renderer/controls/Icon.tsx,Directed
util/api.ts,extensions/mod_management/util/modReference.ts,Directed
util/api.ts,util/StarterInfo.ts,Directed
util/application.electron.ts,util/application.ts,Directed
util/archives.ts,types/IExtensionContext.ts,Directed
util/checksum.ts,util/fs.ts,Directed
util/commandLine.ts,util/application.ts,Directed
util/devel.ts,util/log.ts,Directed
util/devel.ts,shared/errors.ts,Directed
util/electronRemote.ts,util/log.ts,Directed
util/errorHandling.ts,types/api.ts,Directed
util/errorHandling.ts,util/log.ts,Directed
util/errorHandling.ts,util/genHash.ts,Directed
util/exeIcon.ts,util/electronRemote.ts,Directed
util/extensionRequire.ts,renderer/controls/ReactSelectWrap.tsx,Directed
util/extensionRequire.ts,index.ts,Directed
util/fs.ts,util/errorHandling.ts,Directed
util/fsAtomic.ts,shared/errors.ts,Directed
util/genHash.ts,types/IError.ts,Directed
util/getFileList.ts,util/walk.ts,Directed
util/getNormalizeFunc.ts,util/util.ts,Directed
util/getVortexPath.ts,util/electronRemote.ts,Directed
util/github.ts,util/log.ts,Directed
util/libxmljs.ts,util/util.ts,Directed
util/makeReactive.ts,util/storeHelper.ts,Directed
util/menu.ts,types/IExtensionContext.ts,Directed
util/menu.ts,actions/window.ts,Directed
util/message.ts,actions/notifications.ts,Directed
util/message.ts,util/CustomErrors.ts,Directed
util/message.ts,util/getVortexPath.ts,Directed
util/migrate.ts,types/IState.ts,Directed
util/migrate.ts,util/CustomErrors.ts,Directed
util/network.ts,util/CustomErrors.ts,Directed
util/opn.ts,util/log.ts,Directed
util/requireRebuild.ts,util/getVortexPath.ts,Directed
util/requireRebuild.ts,util/log.ts,Directed
util/requireRemap.ts,util/electron.ts,Directed
util/startupSettings.ts,util/application.ts,Directed
util/storeHelper.ts,extensions/gamemode_management/types/IGameStored.ts,Directed
util/transferPath.ts,extensions/mod_management/stagingDirectory.ts,Directed
util/transferPath.ts,extensions/download_management/util/downloadDirectory.ts,Directed
util/transferPath.ts,util/fs.ts,Directed
util/util.ts,util/CustomErrors.ts,Directed
util/webview.ts,util/electronRemote.ts,Directed
util/webview.ts,util/log.ts,Directed
util/webview.ts,util/util.ts,Directed
util/vortex-run/src/index.ts,util/vortex-run/src/elevated.ts,Directed
types/Extension.ts,types/IExtensionContext.ts,Directed
types/IComponentContext.ts,types/IExtensionContext.ts,Directed
types/IDiscoveredTool.ts,types/ITool.ts,Directed
types/IExtensionContext.ts,extensions/file_based_loadorder/types/types.ts,Directed
types/IExtensionContext.ts,extensions/mod_load_order/types/types.ts,Directed
types/IExtensionContext.ts,types/IActionDefinition.ts,Directed
types/IExtensionContext.ts,renderer/ReduxProp.ts,Directed
types/IGame.ts,extensions/gamemode_management/types/IModType.ts,Directed
types/IGame.ts,types/IState.ts,Directed
types/IGameStore.ts,types/IExtensionContext.ts,Directed
types/IGameStore.ts,types/IExecInfo.ts,Directed
types/II18NProps.ts,util/i18n.ts,Directed
types/IMainPage.ts,renderer/ReduxProp.ts,Directed
types/IState.ts,types/IAttributeState.ts,Directed
types/IState.ts,extensions/collections_integration/types.ts,Directed
types/IState.ts,types/IDialog.ts,Directed
types/IState.ts,extensions/gamemode_management/types/IGameStored.ts,Directed
types/IState.ts,extensions/category_management/types/ICategoryDictionary.ts,Directed
types/ITableAttribute.ts,util/i18n.ts,Directed
types/collections/api.ts,types/collections/IGameSpecificInterfaceProps.ts,Directed
